PeakID (cmd=TPR1_QuEST_peaks.bed tair10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
R-38	Chr1	4535243	4535617	+	369001	NA	Intergenic	Intergenic	-5367	AT1G13250.1	837885	At.22620	NM_101196		GATL3	T6J4.1|T6J4_1|galacturonosyltransferase-like 3	putative galacturonosyltransferase-like 3	protein-coding
R-39	Chr3	5079616	5080126	+	364787	NA	TTS (AT3G15090.1)	TTS (AT3G15090.1)	-1909	AT3G15095.2	820740	At.43799	NM_001084688		AT3G15095	-	hypothetical protein	protein-coding
R-40	Chr4	17119340	17120141	+	362981	NA	TTS (AT4G36180.1)	TTS (AT4G36180.1)	4101	AT4G36180.1	829775	At.2123	NM_119785		AT4G36180	F23E13.70|F23E13_70	putative LRR receptor-like serine/threonine-protein kinase	protein-coding
R-41	Chr5	7167365	7168201	+	360573	NA	promoter-TSS (AT5G21100.1)	promoter-TSS (AT5G21100.1)	-401	AT5G21100.1	832234	At.23158	NM_122118		AT5G21100	T10F18.130|T10F18_130	L-ascorbate oxidase	protein-coding
R-42	Chr2	7223511	7224253	+	360573	NA	TTS (AT2G16668.1)	TTS (AT2G16668.1)	166	AT2G16668.1	6240569	At.73774	NM_001124858		AT2G16668	-	hypothetical protein	protein-coding
R-43	Chr5	8376323	8376985	+	358767	NA	Intergenic	Intergenic	-2179	AT5G24530.1	832524	At.23761	NM_122361		DMR6	DOWNY MILDEW RESISTANT 6|K18P6.6|K18P6_6	downy mildew resistance 6 protein / oxidoreductase	protein-coding
R-44	Chr1	20559	21473	+	353952	NA	Intergenic	Intergenic	-2130	AT1G01040.1	839574	At.57123	NM_001197952		DCL1	ABNORMAL SUSPENSOR 1|ASU1|ATDCL1|CAF|CARPEL FACTORY|DICER-LIKE 1|EMB60|EMB76|EMBRYO DEFECTIVE 60|EMBRYO DEFECTIVE 76|SHORT INTEGUMENTS 1|SIN1|SUS1|SUSPENSOR 1|T25K16.4|T25K16_4|dicer-like 1	endoribonuclease Dicer	protein-coding
R-45	Chr1	28337889	28338514	+	352146	NA	3' UTR (AT1G75500.2, exon 6 of 7)	3' UTR (AT1G75500.2, exon 6 of 7)	2040	AT1G75500.1	843886	At.67310	NM_001198474		WAT1	F1B16.19|Walls Are Thin 1	protein walls are thin 1	protein-coding
R-47	Chr4	10839790	10840769	+	35034	NA	TTS (AT4G20006.1)	TTS (AT4G20006.1)	817	AT4G20006.1	6240456	At.73489	NM_001125545		AT4G20006	-	hypothetical protein	protein-coding
R-48	Chr2	17503311	17505549	+	346728	NA	Intergenic	Intergenic	2801	AT2G41930.1	818793	At.28781	NM_180029		AT2G41930	T6D20.17|T6D20_17	protein kinase domain-containing protein	protein-coding
R-49	Chr1	26542808	26543600	+	34432	NA	Intergenic	Intergenic	-2210	AT1G70430.1	843379	At.52464	NM_105711		AT1G70430	F17O7.3|F17O7_3	protein kinase-like protein	protein-coding
R-50	Chr3	18529748	18530404	+	343718	NA	TTS (AT3G49980.1)	TTS (AT3G49980.1)	-1010	AT3G49970.1	824159	At.53863	NM_114857		AT3G49970	-	Phototropic-responsive NPH3 family protein	protein-coding
R-51	Chr5	21454450	21454843	+	341311	NA	promoter-TSS (AT5G52900.1)	promoter-TSS (AT5G52900.1)	220	AT5G52901.1	6241491	At.73347	NM_001125949		AT5G52901	-	hypothetical protein	protein-coding
R-52	Chr5	22649409	22651685	+	338903	NA	Intergenic	Intergenic	-1100	AT5G55920.1	835690	At.43081	NM_180596		OLI2	OLIGOCELLULA 2	S-adenosyl-L-methionine-dependent methyltransferase-like protein	protein-coding
R-53	Chr1	3808682	3810302	+	338301	NA	promoter-TSS (AT1G11330.1)	promoter-TSS (AT1G11330.1)	-601	AT1G11330.2	837675	At.42140	NM_001198033		AT1G11330	T28P6.2|T28P6_2	putative receptor-like protein kinase	protein-coding
R-54	Chr5	18372073	18373189	+	331679	NA	Intergenic	Intergenic	-1640	AT5G45340.2	834570	At.9625	NM_123902		CYP707A3	K9E15.12|K9E15_12|cytochrome P450|family 707|polypeptide 3|subfamily A	abscisic acid 8'-hydroxylase 3	protein-coding
R-55	Chr5	17969414	17970088	+	328067	NA	promoter-TSS (AT5G44574.1)	promoter-TSS (AT5G44574.1)	-942	AT5G44574.1	5008299	At.48062	NM_001085243		AT5G44574	-	hypothetical protein	protein-coding
R-56	Chr1	10621492	10621972	+	325058	NA	Intergenic	Intergenic	2766	AT1G30190.1	839899	At.51836	NM_102758		AT1G30190	T2H7.2|T2H7_2	hypothetical protein	protein-coding
R-57	Chr1	26676123	26676731	+	323854	NA	promoter-TSS (AT1G70740.2)	promoter-TSS (AT1G70740.2)	-437	AT1G70740.2	843411	At.35272	NM_001198437		AT1G70740	F5A18.8|F5A18_8	protein kinase domain-containing protein	protein-coding
R-59	Chr1	24357321	24357831	+	320844	NA	promoter-TSS (AT1G65500.1)	promoter-TSS (AT1G65500.1)	-291	AT1G65500.1	842862	At.35878	NM_105224		AT1G65500	F5I14.4|F5I14_4	hypothetical protein	protein-coding
R-60	Chr3	1428502	1429009	+	320844	NA	Intergenic	Intergenic	-1036	AT3G05110.1	819673	At.53185	NM_111383		AT3G05110	T12H1.7|T12H1_7	hypothetical protein	protein-coding
R-61	Chr5	20083024	20085461	+	320242	NA	Intergenic	Intergenic	3628	AT5G49510.1	835011	At.9655	NM_001036968		PFD3	K6M13.5|K6M13_5|prefoldin 3	putative prefoldin subunit 3	protein-coding
R-62	Chr5	2615034	2615794	+	319038	NA	promoter-TSS (AT5G08139.1)	promoter-TSS (AT5G08139.1)	-931	AT5G08139.1	830709	At.66679	NM_180459		AT5G08139	-	RING/U-box domain-containing protein	protein-coding
R-63	Chr5	2758625	2758819	+	315426	NA	promoter-TSS (AT5G08520.1)	promoter-TSS (AT5G08520.1)	-360	AT5G08520.1	830751	At.8762	NM_120937		AT5G08520	F8L15.2	duplicated SANT DNA-binding domain-containing protein	protein-coding
R-65	Chr5	25240928	25241741	+	313018	NA	Intergenic	Intergenic	-1917	AT5G62890.4	836409	At.8485	NM_001037050		AT5G62890	MQB2.190|MQB2_190	nucleobase-ascorbate transporter 6	protein-coding
R-66	Chr5	4267593	4267852	+	312417	NA	intron (AT5G13320.1, intron 1 of 4)	intron (AT5G13320.1, intron 1 of 4)	212	AT5G13320.1	831173	At.32084	NM_121335		PBS3	AVRPPHB SUSCEPTIBLE 3|GDG1|GH3-LIKE DEFENSE GENE 1|GH3.12|GRETCHEN HAGEN 3.12|HOPW1-1-INTERACTING 3|T22N19.5|WIN3	auxin-responsive GH3 family protein	protein-coding
R-67	Chr5	20697796	20699085	+	308805	NA	TTS (AT5G50870.2)	TTS (AT5G50870.2)	-1401	AT5G50860.1	835158	At.29709	NM_124464		AT5G50860	K16E14.1	protein kinase family protein	protein-coding
R-68	Chr5	26368168	26368976	+	306999	NA	promoter-TSS (AT5G65925.1)	promoter-TSS (AT5G65925.1)	-473	AT5G65925.1	836722	At.74205	NM_148165		AT5G65925	-	hypothetical protein	protein-coding
R-69	Chr4	14579240	14579935	+	306397	NA	promoter-TSS (AT4G29780.1)	promoter-TSS (AT4G29780.1)	-117	AT4G29780.1	829100	At.3318	NM_119124		AT4G29780	F27B13.20|F27B13_20	hypothetical protein	protein-coding
R-70	Chr4	56091	57361	+	304591	NA	TTS (AT4G00150.1)	TTS (AT4G00150.1)	2560	AT4G00150.1	828208	At.67226	NM_116232		HAM3	ARABIDOPSIS THALIANA HAIRY MERISTEM 3|ATHAM3|F6N15.20|F6N15_20|HAIRY MERISTEM 3	scarecrow-like protein 6	protein-coding
R-71	Chr1	26140847	26141784	+	303387	NA	promoter-TSS (AT1G69530.5)	promoter-TSS (AT1G69530.5)	-521	AT1G69530.2	843288	At.23180	NM_001124101		EXPA1	AT-EXP1|ATEXP1|ATEXPA1|ATHEXP ALPHA 1.2|EXP1|EXPANSIN 1|F10D13.18|F10D13_18|expansin A1	expansin A1	protein-coding
R-72	Chr5	19290844	19291426	+	29797	NA	promoter-TSS (AT5G47560.1)	promoter-TSS (AT5G47560.1)	-670	AT5G47560.1	834806	At.71618	NM_124129		TDT	ATSDAT|ATTDT|TONOPLAST DICARBOXYLATE TRANSPORTER|tonoplast dicarboxylate transporter	tonoplast dicarboxylate transporter	protein-coding
R-74	Chr1	9867485	9868169	+	297368	NA	TTS (AT1G28240.1)	TTS (AT1G28240.1)	-3221	AT1G28230.1	839717	At.14731	NM_102588		PUP1	ATPUP1|F3H9.22|F3H9_22|PURINE PERMEASE 1|purine permease 1	purine permease 1	protein-coding
R-73	Chr1	26133873	26135071	+	297368	NA	Intergenic	Intergenic	3051	AT1G69526.1	843287	At.35409	NM_001036179		AT1G69526	-	S-adenosylmethionine-dependent methyltransferase domain-containing protein	protein-coding
R-75	Chr1	26512119	26512482	+	296766	NA	TTS (AT1G70370.2)	TTS (AT1G70370.2)	2888	AT1G70370.1	843373	At.75232	NM_001198432		PG2	polygalacturonase 2	putative polygalacturonase non-catalytic subunit JP650	protein-coding
R-78	Chr3	1107971	1108979	+	295562	NA	promoter-TSS (AT3G04210.1)	promoter-TSS (AT3G04210.1)	-406	AT3G04210.1	819576	At.18791	NM_111292		AT3G04210	T6K12.17|T6K12_17	TIR-NBS class disease resistance protein	protein-coding
R-77	Chr1	22761629	22761873	+	295562	NA	Intergenic	Intergenic	-5451	AT1G61660.4	842462	At.22850	NM_001198355		AT1G61660	T13M11.1|T13M11_1	transcription factor bHLH112	protein-coding
R-79	Chr4	13998398	13998683	+	293756	NA	promoter-TSS (AT4G28240.1)	promoter-TSS (AT4G28240.1)	-193	AT4G28240.1	828939	At.69904	NM_118964		AT4G28240	F26K10.120|F26K10_120	putative wound-responsive protein	protein-coding
R-80	Chr4	1382367	1383029	+	292552	NA	promoter-TSS (AT4G03113.1)	promoter-TSS (AT4G03113.1)	43	AT4G03113.1	6241356	At.45460	NM_001125451		AT4G03113	-	hypothetical protein	protein-coding
R-81	Chr5	8776254	8777967	+	289542	NA	Intergenic	Intergenic	-1482	AT5G25290.1	832601	At.54988	NM_122438		AT5G25290	F18G18.30|F18G18_30	F-box protein	protein-coding
R-82	Chr3	20694996	20695437	+	287134	NA	promoter-TSS (AT3G55740.2)	promoter-TSS (AT3G55740.2)	-283	AT3G55740.1	824740	At.25205	NM_115432		PROT2	ATPROT2|PROLINE TRANSPORTER 2|proline transporter 2	proline transporter 2	protein-coding
R-86	Chr3	8382060	8382783	+	28593	NA	promoter-TSS (AT3G23410.1)	promoter-TSS (AT3G23410.1)	-384	AT3G23410.1	821922	At.28715	NM_113244		FAO3	ARABIDOPSIS FATTY ALCOHOL OXIDASE 3|ATFAO3|fatty alcohol oxidase 3	long-chain-alcohol oxidase FAO3	protein-coding
R-83	Chr5	24476283	24477466	+	28593	NA	Intergenic	Intergenic	-2383	AT5G60840.1	836205	At.29140	NM_125477		AT5G60840	MAE1.8|MAE1_8	hypothetical protein	protein-coding
R-84	Chr5	5902055	5902744	+	28593	NA	TTS (AT5G17860.1)	TTS (AT5G17860.1)	1981	AT5G17860.1	831654	At.9244	NM_121792		CAX7	MPI7.2|calcium exchanger 7	calcium exchanger 7	protein-coding
R-85	Chr4	11864266	11864952	+	28593	NA	promoter-TSS (AT4G22540.3)	promoter-TSS (AT4G22540.3)	-231	AT4G22540.2	828349	At.23326	NM_001036621		ORP2A	F7K2.120|F7K2_120|OSBP(oxysterol binding protein)-related protein 2A	OSBP(oxysterol binding protein)-related protein 2A	protein-coding
R-87	Chr1	11611500	11611656	+	285328	NA	promoter-TSS (AT1G32230.3)	promoter-TSS (AT1G32230.3)	-540	AT1G32230.2	840115	At.10171	NM_001160916		RCD1	ARABIDOPSIS THALIANA P8 (INTERACTING PROTEIN)|ATP8|CEO|CEO1|F3C3.1|F3C3_1|RADICAL-INDUCED CELL DEATH1	WWE protein-protein interaction domain family protein	protein-coding
R-88	Chr4	12572762	12573967	+	283523	NA	exon (AT4G24240.1, exon 3 of 3)	exon (AT4G24240.1, exon 3 of 3)	1598	AT4G24240.1	828525	At.20946	NM_118557		WRKY7	ATWRKY7|T22A6.70|T22A6_70|WRKY DNA-binding protein 7	putative WRKY transcription factor 7	protein-coding
R-90	Chr4	15273374	15273688	+	282319	NA	TTS (AT4G31490.1)	TTS (AT4G31490.1)	1779	AT4G31500.1	829277	At.24671	NM_119299		CYP83B1	ALTERED TRYPTOPHAN REGULATION 4|ATR4|CYTOCHROME P450 MONOOXYGENASE 83B1|F3L17.70|F3L17_70|RED ELONGATED 1|RED1|RNT1|RUNT 1|SUPERROOT 2|SUR2|cytochrome P450|family 83|polypeptide 1|subfamily B	cytochrome P450 83B1	protein-coding
R-89	Chr4	16451368	16451876	+	282319	NA	promoter-TSS (AT4G34410.1)	promoter-TSS (AT4G34410.1)	-254	AT4G34410.1	829591	At.66607	NM_119606		RRTF1	redox responsive transcription factor 1	ethylene-responsive transcription factor ERF109	protein-coding
R-91	Chr4	13020834	13021891	+	281717	NA	TTS (AT4G25490.1)	TTS (AT4G25490.1)	1363	AT4G25490.1	828653	At.232	NM_118681		CBF1	ATCBF1|C-repeat/DRE binding factor 1|DRE BINDING PROTEIN 1B|DREB1B|T30C3.11|TRANSCRIPTIONAL ACTIVATOR CBF1	dehydration-responsive element-binding protein 1B	protein-coding
R-92	Chr4	12166814	12167527	+	280513	NA	promoter-TSS (AT4G23250.1)	promoter-TSS (AT4G23250.1)	-144	AT4G23250.1	828424	At.32454	NM_118454		EMB1290	CRK17|CYSTEINE-RICH RLK (RECEPTOR-LIKE PROTEIN KINASE) 17|DUF26-21|EMBRYO DEFECTIVE 1290|F21P8.140|F21P8_140|RECEPTOR-LIKE KINASE THALIANACOL-0GENOMICLIBRARY(CLONTECH).THEPOSITIVEPHAGECLONES C-X8-C-X2-C CLASS 1|RKC1	cysteine-rich receptor-like protein kinase 17	protein-coding
R-94	Chr3	4532328	4533204	+	279309	NA	TTS (AT3G13790.1)	TTS (AT3G13790.1)	-2097	AT3G13784.1	820590	At.53300	NM_112231		CWINV5	AtcwINV5|cell wall invertase 5	beta-fructofuranosidase, insoluble isoenzyme CWINV5	protein-coding
R-95	Chr2	14534426	14535114	+	278707	NA	promoter-TSS (AT2G34480.1)	promoter-TSS (AT2G34480.1)	-531	AT2G34480.1	818011	At.23545	NM_129000		AT2G34480	F13P17.34	60S ribosomal protein L18a-2	protein-coding
R-97	Chr4	6730693	6731032	+	276901	NA	promoter-TSS (AT4G11000.1)	promoter-TSS (AT4G11000.1)	-158	AT4G11000.1	826701	At.54268	NM_117170		AT4G11000	T22B4.2	ankyrin repeat-containing protein	protein-coding
R-98	Chr2	17135115	17135817	+	276901	NA	promoter-TSS (AT2G41090.1)	promoter-TSS (AT2G41090.1)	-255	AT2G41090.1	818708	At.12547	NM_129674		AT2G41090	T3K9.14|T3K9_14	calmodulin-like protein 10	protein-coding
R-96	Chr1	27159458	27161635	+	276901	NA	TTS (AT1G72175.1)	TTS (AT1G72175.1)	-2274	AT1G72180.1	843550	At.74870	NM_105877		AT1G72180	T9N14.3|T9N14_3	leucine-rich receptor-like protein kinase	protein-coding
R-99	Chr2	18819811	18820625	+	276299	NA	promoter-TSS (AT2G45685.1)	promoter-TSS (AT2G45685.1)	-473	AT2G45685.1	6240353				AT2G45685	-	ncRNA	ncRNA
R-100	Chr1	27150815	27152428	+	274493	NA	TTS (AT1G72150.1)	TTS (AT1G72150.1)	3161	AT1G72150.1	843546	At.43384	NM_105873		PATL1	PATELLIN 1|T9N14.1|T9N14_1	patellin-1	protein-coding
R-101	Chr1	19174816	19175777	+	273891	NA	TTS (AT1G51700.1)	TTS (AT1G51700.1)	1226	AT1G51700.1	841595	At.256	NM_104048		DOF1	ADOF1|DOF zinc finger protein 1|F19C24.9|F19C24_9	Dof zinc finger protein DOF1.7	protein-coding
R-103	Chr5	6801143	6801793	+	272687	NA	promoter-TSS (AT5G20140.1)	promoter-TSS (AT5G20140.1)	-491	AT5G20140.2	832136	At.31224	NM_001203416		AT5G20140	F5O24.30|F5O24_30	SOUL heme-binding protein	protein-coding
R-104	Chr1	24468461	24468962	+	271483	NA	promoter-TSS (AT1G65790.1)	promoter-TSS (AT1G65790.1)	-221	AT1G65790.1	842890	At.52387	NM_105252		RK1	ARK1|F1E22.15|F1E22_15|receptor kinase 1	receptor kinase 1	protein-coding
R-105	Chr1	26325502	26325699	+	270881	NA	promoter-TSS (AT1G69890.1)	promoter-TSS (AT1G69890.1)	-984	AT1G69890.1	843325	At.43696	NM_105657		AT1G69890	T17F3.8|T17F3_8	hypothetical protein	protein-coding
R-106	Chr3	21008997	21010492	+	270881	NA	Intergenic	Intergenic	-1267	AT3G56720.2	824839	At.9833	NM_001203177		AT3G56720	-	hypothetical protein	protein-coding
R-107	Chr1	12167543	12168247	+	270279	NA	promoter-TSS (AT1G33560.1)	promoter-TSS (AT1G33560.1)	-873	AT1G33560.1	840250	At.66955	NM_103079		ADR1	ACTIVATED DISEASE RESISTANCE 1|F10C21.19	disease resistance protein ADR1	protein-coding
R-108	Chr1	24044138	24044675	+	269677	NA	promoter-TSS (AT1G64710.1)	promoter-TSS (AT1G64710.1)	-139	AT1G64710.1	842779	At.28546	NM_001084304		AT1G64710	F13O11.3|F13O11_3	putative alcohol dehydrogenase	protein-coding
R-110	Chr1	4541385	4542314	+	268474	NA	promoter-TSS (AT1G13260.1)	promoter-TSS (AT1G13260.1)	-319	AT1G13260.1	837886	At.20558	NM_101197		RAV1	EDF4|ETHYLENE RESPONSE DNA BINDING FACTOR 4|T6J4.2|T6J4_2|related to ABI3/VP1 1	AP2/ERF and B3 domain-containing transcription factor RAV1	protein-coding
R-109	Chr1	24878646	24878803	+	268474	NA	TTS (AT1G66710.1)	TTS (AT1G66710.1)	1496	AT1G66710.1	3767648				AT1G66710	F4N21.24	pseudo	pseudo
R-113	Chr5	968947	969582	+	266066	NA	Intergenic	Intergenic	1615	AT5G03705.1	3770701				AT5G03705	67580.TRNA-LEU-1	tRNA	tRNA
R-114	Chr5	7498669	7499133	+	264862	NA	Intergenic	Intergenic	-2117	AT5G22570.1	832320	At.67241	NM_122163		WRKY38	ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 38|ATWRKY38|MQJ16.11|MQJ16_11|WRKY DNA-binding protein 38	putative WRKY transcription factor 38	protein-coding
R-117	Chr4	10712809	10713423	+	263658	NA	TTS (AT4G19700.1)	TTS (AT4G19700.1)	1591	AT4G19700.1	827714	At.27286	NM_118090		RING	T16H5.60|T16H5_60	SBP (S-ribonuclease binding protein) family protein	protein-coding
R-118	Chr2	18368841	18370154	+	263658	NA	Intergenic	Intergenic	4741	AT2G44490.1	819056	At.36752	NM_130012		PEN2	BETA GLUCOSIDASE 26|BGLU26|F4I1.30|PENETRATION 2	beta-glucosidase 26	protein-coding
R-119	Chr1	20820620	20820946	+	261852	NA	promoter-TSS (AT1G55700.1)	promoter-TSS (AT1G55700.1)	-818	AT1G55700.1	842019	At.66035	NM_104446		AT1G55700	F20N2.12	cysteine/histidine-rich C1 domain-containing protein	protein-coding
R-120	Chr4	6861943	6862868	+	261852	NA	Intergenic	Intergenic	-1692	AT4G11280.1	826730	At.3654	NM_117199		ACS6	1-aminocyclopropane-1-carboxylic acid (acc) synthase 6|ATACS6|F8L21.70|F8L21_70	1-aminocyclopropane-1-carboxylate synthase 6	protein-coding
R-121	Chr1	29358932	29360409	+	26125	NA	TTS (AT1G78070.1)	TTS (AT1G78070.1)	-4579	AT1G78080.1	844143	At.71798	NM_106457		RAP2.4	F28K19.29|F28K19_29|related to AP2 4	ethylene-responsive transcription factor RAP2-4	protein-coding
R-122	Chr1	24355933	24356321	+	26125	NA	TTS (AT1G65490.1)	TTS (AT1G65490.1)	1356	AT1G65490.1	842861	At.35879	NM_105223		AT1G65490	F5I14.26	hypothetical protein	protein-coding
R-124	Chr3	4461731	4462679	+	260648	NA	promoter-TSS (AT3G13640.1)	promoter-TSS (AT3G13640.1)	-472	AT3G13640.1	820568	At.43389	NM_112210		RLI1	ATRLI1|RNAse l inhibitor protein 1	ABC transporter E family member 1	protein-coding
