PeakID (cmd=TPR1eds1_QuEST_peaks.bed tair10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
R-118	Chr5	4265981	4266405	+	26,0861	NA	TTS (AT5G13310.1)	TTS (AT5G13310.1)	-1317	AT5G13320	831173	At.32084	NM_121335		PBS3	AVRPPHB SUSCEPTIBLE 3|GDG1|GH3-LIKE DEFENSE GENE 1|GH3.12|GRETCHEN HAGEN 3.12|HOPW1-1-INTERACTING 3|T22N19.5|WIN3	auxin-responsive GH3 family protein	protein-coding
R-119	Chr5	828630	829015	+	25,977	NA	Intergenic	Intergenic	-1779	AT5G03370	831859	At.33284	NM_120416		AT5G03370	F12E4.110|F12E4_110	acylphosphatase	protein-coding
R-120	Chr1	7444449	7445106	+	25,8678	NA	promoter-TSS (AT1G21270.1)	promoter-TSS (AT1G21270.1)	-154	AT1G21270	838723	At.69963	NM_101979		WAK2	F16F4.5|F16F4_5|wall-associated kinase 2	wall-associated receptor kinase 2	protein-coding
R-121	Chr3	10715401	10715627	+	25,8678	NA	promoter-TSS (AT3G28580.1)	promoter-TSS (AT3G28580.1)	-109	AT3G28580	822488	At.42770	NM_113778		AT3G28580	-	AAA-type ATPase family protein	protein-coding
R-122	Chr2	12108037	12108682	+	25,8678	NA	Intergenic	Intergenic	4687	AT2G28340	817381	At.52951	NM_128393		GATA13	GATA transcription factor 13|T1B3.14|T1B3_14	putative GATA transcription factor 13	protein-coding
R-123	Chr3	1395891	1396247	+	25,5404	NA	promoter-TSS (AT3G05030.2)	promoter-TSS (AT3G05030.2)	-256	AT3G05030	819665	At.40740	NM_001084641		NHX2	ATNHX2|T9J14.2|T9J14_2|sodium hydrogen exchanger 2	sodium/hydrogen exchanger 2	protein-coding
R-124	Chr1	487669	488626	+	25,213	NA	intron (AT1G02400.1, intron 1 of 2)	intron (AT1G02400.1, intron 1 of 2)	1346	AT1G02400	839508	At.42605	NM_100121		GA2OX6	ARABIDOPSIS THALIANA GIBBERELLIN 2-OXIDASE 4|ARABIDOPSIS THALIANA GIBBERELLIN 2-OXIDASE 6|ATGA2OX4|ATGA2OX6|Arabidopsis thaliana gibberellin 2-oxidase 4|DOWNSTREAM TARGET OF AGL15 1|DTA1|T6A9.9|T6A9_9|gibberellin 2-oxidase 6	gibberellin 2-oxidase 6	protein-coding
R-126	Chr4	6217120	6217770	+	25,1038	NA	promoter-TSS (AT4G09890.1)	promoter-TSS (AT4G09890.1)	-951	AT4G09890	826579	At.48838	NM_117057		AT4G09890	T5L19.20|T5L19_20	hypothetical protein	protein-coding
R-127	Chr1	4458856	4459277	+	24,9947	NA	promoter-TSS (AT1G13080.1)	promoter-TSS (AT1G13080.1)	-100	AT1G13080	837865	At.337	NM_101178		CYP71B2	CYTOCHROME P450 MONOOXYGENASE 71B2|F3F19.10|F3F19_10|cytochrome P450|family 71|polypeptide 2|subfamily B	cytochrome P450 71B2	protein-coding
R-128	Chr2	15136796	15137023	+	24,8855	NA	promoter-TSS (AT2G36050.1)	promoter-TSS (AT2G36050.1)	-160	AT2G36050	818178	At.14241	NM_129164		OFP15	ARABIDOPSIS THALIANA OVATE FAMILY PROTEIN 15|ATOFP15|F11F19.32|F11F19_32|ovate family protein 15	ovate family protein 15	protein-coding
R-130	Chr5	26368276	26368631	+	24,4489	NA	promoter-TSS (AT5G65925.1)	promoter-TSS (AT5G65925.1)	-592	AT5G65925	836722	At.74205	NM_148165		AT5G65925	-	hypothetical protein	protein-coding
R-131	Chr3	18821945	18822269	+	24,4489	NA	Intergenic	Intergenic	-3933	AT3G50665	3769697				AT3G50665	67272.TRNA-GLU-1	tRNA	tRNA
R-132	Chr1	30239533	30240047	+	24,3398	NA	Intergenic	Intergenic	-1255	AT1G80420	844382	At.75584	NM_001084387		ATXRCC1	T21F11.25|T21F11_25	DNA-repair protein XRCC1	protein-coding
R-135	Chr2	18819859	18820780	+	24,1215	NA	promoter-TSS (AT2G45685.1)	promoter-TSS (AT2G45685.1)	-372	AT2G45685	6240353				AT2G45685	-	ncRNA	ncRNA
R-137	Chr2	17509297	17510622	+	23,9032	NA	TTS (AT2G41945.1)	TTS (AT2G41945.1)	2450	AT2G41940	818794	At.20402	NM_129758		ZFP8	T6D20.16|T6D20_16|ZINC FINGER PROTEIN8|zinc finger protein 8	zinc finger protein 8	protein-coding
R-138	Chr1	29336380	29337281	+	23,794	NA	TTS (AT1G78010.1)	TTS (AT1G78010.1)	-1863	AT1G78020	844137	At.16526	NM_106451		AT1G78020	F28K19.24|F28K19_24	hypothetical protein	protein-coding
R-141	Chr3	1730473	1730898	+	23,6849	NA	TTS (AT3G05810.1)	TTS (AT3G05810.1)	1699	AT3G05810	819750	At.40614	NM_111455		AT3G05810	F10A16.10|F10A16_10	hypothetical protein	protein-coding
R-143	Chr5	21819023	21819828	+	23,2483	NA	TTS (AT5G53750.1)	TTS (AT5G53750.1)	2059	AT5G53750	835456	At.29535	NM_124754		AT5G53750	MGN6.11|MGN6_11	CBS domain-containing protein	protein-coding
R-144	Chr1	4523886	4524314	+	23,1392	NA	Intergenic	Intergenic	-1318	AT1G13240	3766717				AT1G13240	51346.TRNA-ILE-1	tRNA	tRNA
R-145	Chr1	10900864	10901040	+	22,9209	NA	promoter-TSS (AT1G30730.1)	promoter-TSS (AT1G30730.1)	98	AT1G30730	839953	At.40495	NM_102809		AT1G30730	T5I8.18|T5I8_18	FAD-binding and BBE domain-containing protein	protein-coding
R-147	Chr4	13998354	13998691	+	22,9209	NA	promoter-TSS (AT4G28240.1)	promoter-TSS (AT4G28240.1)	-175	AT4G28240	828939	At.69904	NM_118964		AT4G28240	F26K10.120|F26K10_120	putative wound-responsive protein	protein-coding
R-151	Chr1	29327492	29327963	+	22,5934	NA	Intergenic	Intergenic	-2008	AT1G78000	844135	At.10549	NM_106449		SULTR1;2	F28K19.22|F28K19_22|SEL1|SELENATE RESISTANT 1|SULFATE TRANSPORTER|sulfate transporter 1;2	sulfate transporter 1.2	protein-coding
R-152	Chr5	24741206	24741515	+	22,5934	NA	promoter-TSS (AT5G61520.2)	promoter-TSS (AT5G61520.2)	-87	AT5G61520	836273	At.19760	NM_001126001		AT5G61520	K11J9.8|K11J9_8	sugar transport protein 3	protein-coding
R-153	Chr2	18962789	18963149	+	22,5934	NA	promoter-TSS (AT2G46160.1)	promoter-TSS (AT2G46160.1)	-114	AT2G46160	819223	At.37022	NM_130178		AT2G46160	T3F17.19	RING-H2 finger protein ATL67	protein-coding
R-156	Chr2	17503346	17503952	+	22,3751	NA	TTS (AT2G41930.1)	TTS (AT2G41930.1)	2020	AT2G41930	818793	At.28781	NM_180029		AT2G41930	T6D20.17|T6D20_17	protein kinase domain-containing protein	protein-coding
R-157	Chr4	9347490	9348166	+	22,1568	NA	exon (AT4G16590.1, exon 6 of 9)	exon (AT4G16590.1, exon 6 of 9)	-2211	AT4G16600	827361	At.54363	NM_117761		AT4G16600	DL4325W|FCAALL.404	GT8-glycogenin domain-containing protein	protein-coding
R-158	Chr1	6014852	6015538	+	22,0477	NA	Intergenic	Intergenic	-1453	AT1G17495	3766743				AT1G17495	F28G4.2	pseudo	pseudo
R-159	Chr5	26492088	26492522	+	22,0477	NA	promoter-TSS (AT5G66310.1)	promoter-TSS (AT5G66310.1)	-923	AT5G66310	836763	At.9634	NM_126029		AT5G66310	K1L20.9|K1L20_9	ATP binding microtubule motor family protein	protein-coding
R-16	Chr4	11864428	11864639	+	64,1784	NA	promoter-TSS (AT4G22540.3)	promoter-TSS (AT4G22540.3)	-155	AT4G22540	828349	At.23326	NM_001036621		ORP2A	F7K2.120|F7K2_120|OSBP(oxysterol binding protein)-related protein 2A	OSBP(oxysterol binding protein)-related protein 2A	protein-coding
R-160	Chr3	9373081	9373593	+	22,0477	NA	promoter-TSS (AT3G25715.1)	promoter-TSS (AT3G25715.1)	76	AT3G25716	6241217	At.68368	NM_001125228		AT3G25716	-	hypothetical protein	protein-coding
R-161	Chr4	16136188	16136644	+	21,9385	NA	promoter-TSS (AT4G33565.1)	promoter-TSS (AT4G33565.1)	-333	AT4G33565	829496	At.75651	NM_119512		AT4G33565	-	RING-finger domain-containing protein	protein-coding
R-162	Chr2	509524	510155	+	21,9385	NA	TTS (AT2G02070.1)	TTS (AT2G02070.1)	4352	AT2G02070	814738	At.13356	NM_126268		IDD5	AtIDD5|F5O4.16|F5O4_16|indeterminate(ID)-domain 5	indeterminate(ID)-domain 5 protein	protein-coding
R-163	Chr1	8168563	8168744	+	21,8294	NA	exon (AT1G23050.1, exon 1 of 1)	exon (AT1G23050.1, exon 1 of 1)	210	AT1G23050	838913	At.41571	NM_102153		AT1G23050	F19G10.1	hydroxyproline-rich glycoprotein family protein	protein-coding
R-164	Chr3	22291205	22291759	+	21,8294	NA	promoter-TSS (AT3G60318.1)	promoter-TSS (AT3G60318.1)	-115	AT3G60318	6241132	At.73558	NM_001125391		AT3G60318	-	hypothetical protein	protein-coding
R-165	Chr3	2345886	2346204	+	21,8294	NA	Intergenic	Intergenic	-1423	AT3G07350	819923	At.28250	NM_111614		AT3G07350	-	hypothetical protein	protein-coding
R-167	Chr4	12143670	12144185	+	21,7202	NA	promoter-TSS (AT4G23190.1)	promoter-TSS (AT4G23190.1)	-94	AT4G23190	828418	At.50	NM_118448		CRK11	AT-RLK3|F21P8.80|F21P8_80|RECEPTOR LIKE PROTEIN KINASE 3|cysteine-rich RLK (RECEPTOR-like protein kinase) 11	cysteine-rich receptor-like protein kinase 11	protein-coding
R-168	Chr1	21045131	21045311	+	21,6111	NA	TTS (AT1G56220.2)	TTS (AT1G56220.2)	1872	AT1G56220	842075	At.70038	NM_001084259		AT1G56220	F14G9.17|F14G9_17	dormancy/auxin associated protein	protein-coding
R-169	Chr5	6832032	6833287	+	21,6111	NA	Intergenic	Intergenic	-1000	AT5G20250	832147	At.74986	NM_001036833		DIN10	DARK INDUCIBLE 10|F5O24.140|F5O24_140	putative galactinol--sucrose galactosyltransferase 6	protein-coding
R-17	Chr1	30266815	30268164	+	62,6504	NA	promoter-TSS (AT1G80490.2)	promoter-TSS (AT1G80490.2)	-451	AT1G80490	844388	At.25188	NM_106697		TPR1	T21F11.18|T21F11_18|TOPLESS-related 1	Topless-related protein 1	protein-coding
R-170	Chr3	23162684	23163785	+	21,6111	NA	TTS (AT3G62630.1)	TTS (AT3G62630.1)	1961	AT3G62630	825437	At.20882	NM_116128		AT3G62630	-	hypothetical protein	protein-coding
R-172	Chr3	21009005	21009501	+	21,3928	NA	Intergenic	Intergenic	-1688	AT3G56710	824838	At.9832	NM_115530		SIB1	sigma factor binding protein 1	sigma factor binding protein 1	protein-coding
R-174	Chr1	25658814	25659394	+	21,2837	NA	exon (AT1G68440.1, exon 1 of 1)	exon (AT1G68440.1, exon 1 of 1)	1071	AT1G68440	843173	At.20172	NM_105515		AT1G68440	T2E12.1|T2E12_1	hypothetical protein	protein-coding
R-175	Chr1	790031	790199	+	21,2837	NA	promoter-TSS (AT1G03230.1)	promoter-TSS (AT1G03230.1)	24	AT1G03230	838532	At.25334	NM_100205		AT1G03230	F15K9.16|F15K9_16	aspartyl protease-like protein	protein-coding
R-177	Chr5	21663587	21664073	+	21,2837	NA	TTS (AT5G53400.1)	TTS (AT5G53400.1)	2385	AT5G53400	835421	At.27931	NM_124719		BOB1	BOBBER1|MYN8.1|MYN8_1	nudC domain-containing protein	protein-coding
R-178	Chr5	2241416	2242051	+	21,2837	NA	Intergenic	Intergenic	3606	AT5G07200	830611	At.5050	NM_120802		GA20OX3	ARABIDOPSIS THALIANA GIBBERELLIN 20-OXIDASE 3|ATGA20OX3|T28J14.140|T28J14_140|YAP169|gibberellin 20-oxidase 3	gibberellin 20 oxidase 3	protein-coding
R-179	Chr3	980479	981162	+	21,2837	NA	promoter-TSS (AT3G03840.1)	promoter-TSS (AT3G03840.1)	-252	AT3G03840	821121	At.40926	NM_111255		AT3G03840	F20H23.14|F20H23_14	SAUR-like auxin-responsive protein	protein-coding
R-180	Chr2	16292775	16293342	+	21,2837	NA	intron (AT2G39010.1, intron 2 of 3)	intron (AT2G39010.1, intron 2 of 3)	1581	AT2G39010	818487	At.13247	NM_129458		PIP2E	PIP2;6|PLASMA MEMBRANE INTRINSIC PROTEIN 2;6|T7F6.18|T7F6_18|plasma membrane intrinsic protein 2E	putative aquaporin PIP2-6	protein-coding
R-181	Chr1	6485060	6485307	+	21,1745	NA	TTS (AT1G18810.1)	TTS (AT1G18810.1)	-1587	AT1G18800	838462	At.28227	NM_101738		NRP2	F6A14.10|F6A14_10|NAP1-related protein 2	template-activating factor I	protein-coding
R-182	Chr5	26573462	26574307	+	21,1745	NA	promoter-TSS (AT5G66590.1)	promoter-TSS (AT5G66590.1)	-297	AT5G66590	836791	At.19935	NM_126057		AT5G66590	K1F13.27|K1F13_27	allergen V5/Tpx-1-related family protein	protein-coding
R-183	Chr5	19977185	19977346	+	21,1745	NA	exon (AT5G49280.1, exon 1 of 1)	exon (AT5G49280.1, exon 1 of 1)	184	AT5G49280	834988	At.20124	NM_124305		AT5G49280	K21P3.16|K21P3_16	hydroxyproline-rich glycoprotein family protein	protein-coding
R-184	Chr5	26921195	26921535	+	21,0654	NA	promoter-TSS (AT5G67455.1)	promoter-TSS (AT5G67455.1)	-307	AT5G67455	3771575				AT5G67455	67938.TRNA-MET-1	tRNA	tRNA
R-185	Chr4	13837676	13838227	+	21,0654	NA	Intergenic	Intergenic	-1124	AT4G27740	828888	At.32071	NM_118913		AT4G27740	T29A15.230|T29A15_230	yippee-like protein	protein-coding
R-186	Chr2	9784337	9784873	+	21,0654	NA	Intergenic	Intergenic	-1711	AT2G22990	816830	At.24365	NM_001161057		SNG1	MALATE SINAPOYLTRANSFERASE|SCPL8|SERINE CARBOXYPEPTIDASE-LIKE 8|T20K9.18|sinapoylglucose 1	sinapoylglucose-malate O-sinapoyltransferase	protein-coding
R-188	Chr3	7503216	7504331	+	20,9562	NA	Intergenic	Intergenic	-1932	AT3G21320	821686	At.51217	NM_113027		AT3G21320	-	hypothetical protein	protein-coding
R-19	Chr1	20565	21420	+	61,2315	NA	Intergenic	Intergenic	-2154	AT1G01040	839574	At.57123	NM_001197952		DCL1	ABNORMAL SUSPENSOR 1|ASU1|ATDCL1|CAF|CARPEL FACTORY|DICER-LIKE 1|EMB60|EMB76|EMBRYO DEFECTIVE 60|EMBRYO DEFECTIVE 76|SHORT INTEGUMENTS 1|SIN1|SUS1|SUSPENSOR 1|T25K16.4|T25K16_4|dicer-like 1	endoribonuclease Dicer	protein-coding
R-190	Chr1	19699232	19699542	+	20,8471	NA	promoter-TSS (AT1G52890.1)	promoter-TSS (AT1G52890.1)	-905	AT1G52890	841722	At.28621	NM_104167		NAC019	ANAC019|F14G24.16|F14G24_16|NAC domain containing protein 19	NAC domain-containing protein 19	protein-coding
R-191	Chr5	18215655	18216173	+	20,8471	NA	Intergenic	Intergenic	-2672	AT5G45100	834543	At.26652	NM_123878		AT5G45100	K17O22.9|K17O22_9	S-ribonuclease binding protein	protein-coding
R-192	Chr3	13589099	13589471	+	20,8471	NA	Intergenic	Intergenic	8138	AT3G33055	3769329				AT3G33055	T15D2.23	pseudo	pseudo
R-193	Chr1	9867547	9868161	+	20,7379	NA	TTS (AT1G28240.1)	TTS (AT1G28240.1)	-3248	AT1G28230	839717	At.14731	NM_102588		PUP1	ATPUP1|F3H9.22|F3H9_22|PURINE PERMEASE 1|purine permease 1	purine permease 1	protein-coding
R-194	Chr4	14626157	14626560	+	20,7379	NA	TTS (AT4G29905.1)	TTS (AT4G29905.1)	1273	AT4G29905	829113	At.67713	NM_148384		AT4G29905	-	hypothetical protein	protein-coding
R-195	Chr4	9737867	9738736	+	20,7379	NA	promoter-TSS (AT4G17450.1)	promoter-TSS (AT4G17450.1)	-28	AT4G17453	6240808	At.73495	NM_001125529		AT4G17453	-	hypothetical protein	protein-coding
R-196	Chr4	9447142	9447749	+	20,7379	NA	Intergenic	Intergenic	-1669	AT4G16780	827384	At.74809	NM_117780		HB-2	ARABIDOPSIS THALIANA HOMEOBOX PROTEIN 2|ATHB-2|ATHB2|DL4415W|FCAALL.101|HAT4|homeobox protein 2	homeobox-leucine zipper protein HAT4	protein-coding
R-198	Chr4	17397364	17398117	+	20,6288	NA	Intergenic	Intergenic	-2870	AT4G36920	829845	At.4638	NM_001204009		AP2	AP22.49|AP22_49|APETALA 2|FL1|FLO2|FLORAL HOMEOTIC PROTEIN APETALA 2|FLORAL MUTANT 2|FLOWER 1	Floral homeotic protein APETALA 2	protein-coding
R-20	Chr3	13590525	13590754	+	55,9924	NA	Intergenic	Intergenic	9492	AT3G33055	3769329				AT3G33055	T15D2.23	pseudo	pseudo
R-200	Chr3	23281161	23281896	+	20,5196	NA	TTS (AT3G62988.1)	TTS (AT3G62988.1)	553	AT3G62988	6240951	At.73540	NM_001125423		AT3G62988	-	hypothetical protein	protein-coding
R-201	Chr1	3287330	3287878	+	20,4105	NA	promoter-TSS (AT1G10070.2)	promoter-TSS (AT1G10070.2)	-483	AT1G10070	837543	At.48176	NM_001035938		BCAT-2	ATBCAT-2|T27I1.9|T27I1_9|branched-chain amino acid transaminase 2	branched-chain-amino-acid aminotransferase 2	protein-coding
R-202	Chr1	156281	156926	+	20,4105	NA	promoter-TSS (AT1G01420.1)	promoter-TSS (AT1G01420.1)	-592	AT1G01420	837503	At.49834	NM_100024		UGT72B3	F6F3.22|F6F3_22|UDP-glucosyl transferase 72B3	hydroquinone glucosyltransferase	protein-coding
R-203	Chr1	28429991	28430449	+	20,3013	NA	intron (AT1G75710.1, intron 2 of 2)	intron (AT1G75710.1, intron 2 of 2)	1514	AT1G75710	843905	At.47595	NM_106222		AT1G75710	F10A5.10|F10A5_10	C2H2-like zinc finger protein	protein-coding
R-204	Chr3	17605567	17605736	+	20,3013	NA	promoter-TSS (AT3G47750.1)	promoter-TSS (AT3G47750.1)	-776	AT3G47750	823929	At.53822	NM_114643		ABCA4	ATATH3|ATP binding cassette subfamily A4	ABC transporter A family member 4	protein-coding
R-205	Chr3	5840616	5841337	+	20,3013	NA	promoter-TSS (AT3G17120.2)	promoter-TSS (AT3G17120.2)	-120	AT3G17120	820969	At.38788	NM_112588		AT3G17120	-	hypothetical protein	protein-coding
R-207	Chr1	26042936	26043576	+	20,083	NA	promoter-TSS (AT1G69270.1)	promoter-TSS (AT1G69270.1)	-554	AT1G69270	843258	At.74142	NM_105594		RPK1	F4N2.27|F4N2_27|RECEPTOR-LIKE PROTEIN KINASE 1|receptor-like protein kinase 1	putative LRR receptor-like serine/threonine-protein kinase RPK1	protein-coding
R-208	Chr5	6414038	6414568	+	20,083	NA	promoter-TSS (AT5G19120.1)	promoter-TSS (AT5G19120.1)	-185	AT5G19120	832032	At.70275	NM_121917		AT5G19120	T24G5.20|T24G5_20	aspartyl protease family protein	protein-coding
R-209	Chr5	4554673	4555308	+	20,083	NA	promoter-TSS (AT5G14120.1)	promoter-TSS (AT5G14120.1)	-608	AT5G14110	831261	At.65510	NM_121415		AT5G14110	MUA22.11|MUA22_11	hypothetical protein	protein-coding
R-210	Chr4	13680659	13680918	+	20,083	NA	5' UTR (AT4G27320.1, exon 1 of 3)	5' UTR (AT4G27320.1, exon 1 of 3)	136	AT4G27320	828840	At.24337	NM_118866		PHOS34	ATPHOS34|M4I22.130|M4I22_130	universal stress protein (USP) family pr	protein-coding
R-211	Chr3	21510193	21510664	+	20,083	NA	intron (AT3G58080.1, intron 1 of 1)	intron (AT3G58080.1, intron 1 of 1)	134	AT3G58080	824977	At.53976	NM_115670		AT3G58080	F9D24.3	hypothetical protein	protein-coding
R-212	Chr2	16216619	16216783	+	20,083	NA	promoter-TSS (AT2G38800.1)	promoter-TSS (AT2G38800.1)	-298	AT2G38800	818462	At.72541	NM_129437		AT2G38800	F13I13.3|F13I13_3	calmodulin-binding protein-like protein	protein-coding
R-214	Chr1	6512373	6512961	+	19,9739	NA	Intergenic	Intergenic	-2762	AT1G18870	838468	At.43418	NM_001160879		ICS2	ARABIDOPSIS ISOCHORISMATE SYNTHASE 2|ATICS2|F6A14.3|F6A14_3|isochorismate synthase 2	Isochorismate synthase 2	protein-coding
R-215	Chr1	6463300	6463949	+	19,9739	NA	promoter-TSS (AT1G18740.1)	promoter-TSS (AT1G18740.1)	-298	AT1G18740	838456	At.20679	NM_101732		AT1G18740	F6A14.15|F6A14_15	hypothetical protein	protein-coding
R-216	Chr5	1380364	1381224	+	19,9739	NA	intron (AT5G04770.1, intron 3 of 3)	intron (AT5G04770.1, intron 3 of 3)	1726	AT5G04770	830355	At.75036	NM_120559		CAT6	ARABIDOPSIS THALIANA CATIONIC AMINO ACID TRANSPORTER 6|ATCAT6|MUK11.10|cationic amino acid transporter 6	cationic amino acid transporter 6	protein-coding
R-217	Chr4	15395642	15396789	+	19,9739	NA	Intergenic	Intergenic	-1785	AT4G31820	829311	At.43160	NM_119332		ENP	ENHANCER OF PINOID|F11C18.20|F11C18_20|MAB4|MACCHI-BOU 4|NAKED PINS IN YUC MUTANTS 1|NPY1	Phototropic-responsive NPH3 family protein	protein-coding
R-218	Chr4	15381341	15381708	+	19,9739	NA	Intergenic	Intergenic	-1677	AT4G31800	829308	At.19031	NM_001036689		WRKY18	ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 18|ATWRKY18|F11C18.16|WRKY DNA-binding protein 18	WRKY transcription factor 18	protein-coding
R-220	Chr1	22034012	22034492	+	19,8648	NA	promoter-TSS (AT1G59870.1)	promoter-TSS (AT1G59870.1)	-254	AT1G59870	842281	At.24243	NM_104680		PEN3	ABCG36|ARABIDOPSIS PLEIOTROPIC DRUG RESISTANCE 8|ARABIDOPSIS THALIANA ATP-BINDING CASSETTE G36|ATABCG36|ATP-BINDING CASSETTE G36|ATPDR8|F23H11.19|F23H11_19|PDR8|PENETRATION 3|PLEIOTROPIC DRUG RESISTANCE 8	ABC transporter G family member 36	protein-coding
R-222	Chr3	18809470	18810154	+	19,8648	NA	TTS (AT3G50651.1)	TTS (AT3G50651.1)	1121	AT3G50651	6240384	At.73580	NM_001125337		AT3G50651	-	hypothetical protein	protein-coding
R-223	Chr5	25086855	25087350	+	19,6465	NA	Intergenic	Intergenic	2491	AT5G62480	836368	At.9304	NM_125642		GSTU9	ATGSTU9|GLUTATHIONE S-TRANSFERASE 14|GLUTATHIONE S-TRANSFERASE 14B|GST14|GST14B|K19B1.9|K19B1_9|glutathione S-transferase tau 9	glutathione S-transferase tau 9	protein-coding
R-225	Chr5	1608265	1608731	+	19,6465	NA	promoter-TSS (AT5G05440.1)	promoter-TSS (AT5G05440.1)	-752	AT5G05440	830427	At.9146	NM_120626		PYL5	K18I23.25|K18I23_25|PYRABACTIN RESISTANCE 1-LIKE 5|RCAR8|regulatory component of ABA receptor 8	abscisic acid receptor PYL5	protein-coding
R-226	Chr4	9496047	9496673	+	19,6465	NA	promoter-TSS (AT4G16860.1)	promoter-TSS (AT4G16860.1)	-544	AT4G16860	827395	At.43768	NM_117790		RPP4	DL4460C|FCAALL.47|recognition of peronospora parasitica 4	TIR-NBS-LRR class disease resistance protein	protein-coding
R-227	Chr2	17477290	17477807	+	19,6465	NA	TTS (AT2G41890.1)	TTS (AT2G41890.1)	2804	AT2G41890	818789	At.49579	NM_129753		AT2G41890	T11A7.1|T11A7_1	curculin-like mannose-binding lectin fand PAN domain-containing protein	protein-coding
